,state,state_po,party_simplified,votes,county_fips,jurisdiction_fips,year,special,writein,state_fips,state_cen,state_ic,readme_check,magnitude,totalVotes,totalStateVotes,votePercentage
55,KENTUCKY,KY,REPUBLICAN,1363618,25375848.0,25375848.0,2428040,0,0,25242,73322,61302,104,1202,2115335,2115335,0.6446345377918864
56,LOUISIANA,LA,DEMOCRAT,727402,193162445.0,193162445.0,17685100,0,0,192610,630360,393975,0,8755,2021601,2021601,0.359814820036199
57,LOUISIANA,LA,LIBERTARIAN,28406,38938717.0,38938717.0,3565300,0,0,38830,127080,79425,0,1765,1088485,2021601,0.01405123958684231
58,LOUISIANA,LA,OTHER,21539,43212649.0,43212649.0,3957180,0,0,43098,141048,88155,0,1959,690978,2021601,0.010654426862669736
59,LOUISIANA,LA,REPUBLICAN,1244254,199506722.0,199506722.0,18264840,0,0,198924,651024,406890,0,9042,2021601,2021601,0.6154795135142889
60,MAINE,ME,DEMOCRAT,468978,11922192.0,1134700797212.0,1046360,0,0,11914,5698,1036,24,518,809214,809214,0.5795475609665676
61,MAINE,ME,REPUBLICAN,340236,11922192.0,1134700797212.0,1046360,0,0,11914,5698,1036,24,518,809214,809214,0.42045243903343243
62,MARYLAND,MD,DEMOCRAT,1912788,308315860.0,308315860.0,25825700,3150,2610,306840,664820,664820,0,12785,2947893,2947893,0.6488661562682227
63,MARYLAND,MD,OTHER,6939,58385070.0,58385070.0,4908600,0,1215,58320,126360,126360,0,2430,366078,2947893,0.0023538846219995093
64,MARYLAND,MD,REPUBLICAN,1028166,283448045.0,283448045.0,23735000,3150,1575,282000,611000,611000,0,11750,2947893,2947893,0.3487799591097777
65,MASSACHUSETTS,MA,DEMOCRAT,2483870,61289818.0,6129075309998.0,4949000,0,277,61250,34300,7350,0,2450,3304030,3304030,0.7517698083855171
66,MASSACHUSETTS,MA,OTHER,120452,18589135.0,1858933609971.0,1500860,0,0,18575,10402,2229,0,743,1113984,3304030,0.03645608544716604
67,MASSACHUSETTS,MA,REPUBLICAN,699708,49036446.0,4903705529775.0,3959200,0,810,49000,27440,5880,0,1960,2357484,3304030,0.21177410616731687
68,MICHIGAN,MI,DEMOCRAT,2686145,128242982.0,12785401726603.0,9922240,0,0,127712,167008,112976,478,4912,5419534,5419534,0.49564132266722566
69,MICHIGAN,MI,LIBERTARIAN,59949,82659793.0,8240062209692.0,6397340,0,0,82342,107678,72841,138,3167,3551323,5419534,0.011061652164189762
70,MICHIGAN,MI,OTHER,56195,120703859.0,12044494294255.0,9330380,0,0,120094,157046,106237,138,4619,2925993,5419534,0.010368972682891185
71,MICHIGAN,MI,REPUBLICAN,2617245,128242982.0,12785401726603.0,9922240,0,0,127712,167008,112976,534,4912,5419534,5419534,0.4829280524856934
72,MINNESOTA,MN,OTHER,1714487,244291045.0,244291045.0,18218380,0,0,243513,369779,297627,0,9019,3189307,3189307,0.537573523025535
73,MINNESOTA,MN,REPUBLICAN,1474820,111314166.0,111314166.0,8302200,0,0,110970,168510,135630,0,4110,3189307,3189307,0.462426476974465
74,MISSISSIPPI,MS,DEMOCRAT,421014,44844679.0,44844679.0,3225940,0,0,44716,102208,73462,0,1597,971875,1227015,0.3431204997493918
75,MISSISSIPPI,MS,REPUBLICAN,806001,54388801.0,54388801.0,3912740,0,0,54236,123968,89102,0,1937,1227015,1227015,0.6568795002506082
76,MISSOURI,MO,DEMOCRAT,1172135,110761118.0,110761118.0,7623480,0,0,109446,162282,128316,0,3774,2971671,2971671,0.3944363289206645
77,MISSOURI,MO,LIBERTARIAN,75554,110557071.0,110557071.0,7609340,0,0,109243,161981,128078,0,3767,2971671,2971671,0.025424752605520597
78,MISSOURI,MO,REPUBLICAN,1723982,110819108.0,110819108.0,7627520,0,0,109504,162368,128384,0,3776,2971671,2971671,0.5801389184738149
79,MONTANA,MT,DEMOCRAT,262340,19925613.0,19925613.0,1339260,0,0,19890,53703,42432,0,663,601509,601509,0.43613645016117797
80,MONTANA,MT,REPUBLICAN,339169,19925613.0,19925613.0,1339260,0,0,19890,53703,42432,0,663,601509,601509,0.563863549838822
81,NEBRASKA,NE,DEMOCRAT,326018,45050521.0,45050521.0,2926980,0,0,44919,66654,50715,0,1449,941298,941298,0.346349402633385
