cumulative_percentage,,-0.05 | 0.05,-0.1 | -0.05,-0.2 | -0.1,-0.3 | -0.2,-0.5 | -0.3,-0.75 | -0.5,-1 | -0.75,0.05 | 0.1,0.1 | 0.2,0.2 | 0.3,0.3 | 0.5,0.5 | 0.75,0.75 | 1
0.1652911147987711,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.1653287851541499,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1654262958610784,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1654337485483383,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1656316025353736,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1657665714973685,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.1658462060770667,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.1658615136876006,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1659170956380384,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.1659671042998682,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.1660188784008884,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1660572974055895,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.1661807580174927,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1663793003691403,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.1665270708502459,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.1665533650577838,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1668906083491637,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1669020391292367,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1669303797468354,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1669333743652869,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.1669471879068881,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1669671207620608,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.1670575621523822,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.1674550994227068,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1675,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.167514639531535,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1675928952816824,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1678638941398866,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1680174219869886,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1680417578716955,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.1681391496410822,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1681877444589309,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1681926076636148,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.1682582240135101,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.168277251662301,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1683048173765319,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1687256243236068,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1687672093581949,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.1690322580645161,0,0,0,0,0,0,0,0,0,1,0,0,0,0
