,state,state_po,county_fips,party_simplified,votes,totalVotes_x,totalStateVotes,totalVotes_y,votePercentage
214,ARKANSAS,AR,5061.0,DEMOCRAT,1265,4754,4754,14262,0.26609171224232225
215,ARKANSAS,AR,5061.0,LIBERTARIAN,96,4754,4754,14262,0.020193521245267142
216,ARKANSAS,AR,5061.0,REPUBLICAN,3393,4754,4754,14262,0.7137147665124106
217,ARKANSAS,AR,5063.0,REPUBLICAN,13352,13352,13352,13352,1.0
218,ARKANSAS,AR,5065.0,REPUBLICAN,5255,5255,5255,5255,1.0
219,ARKANSAS,AR,5067.0,REPUBLICAN,4453,4453,4453,4453,1.0
220,ARKANSAS,AR,5069.0,DEMOCRAT,13682,24183,24531,72897,0.5577432636256165
221,ARKANSAS,AR,5069.0,LIBERTARIAN,686,24183,24531,72897,0.02796461619991032
222,ARKANSAS,AR,5069.0,REPUBLICAN,10163,24531,24531,72897,0.4142921201744731
223,ARKANSAS,AR,5071.0,DEMOCRAT,2094,9400,9400,28200,0.22276595744680852
224,ARKANSAS,AR,5071.0,LIBERTARIAN,369,9400,9400,28200,0.03925531914893617
225,ARKANSAS,AR,5071.0,REPUBLICAN,6937,9400,9400,28200,0.7379787234042553
226,ARKANSAS,AR,5073.0,DEMOCRAT,841,2629,2629,7887,0.3198934956257132
227,ARKANSAS,AR,5073.0,LIBERTARIAN,41,2629,2629,7887,0.015595283377710156
228,ARKANSAS,AR,5073.0,REPUBLICAN,1747,2629,2629,7887,0.6645112209965767
229,ARKANSAS,AR,5075.0,REPUBLICAN,5428,5428,5428,5428,1.0
230,ARKANSAS,AR,5077.0,REPUBLICAN,1862,1862,1862,1862,1.0
231,ARKANSAS,AR,5079.0,REPUBLICAN,3373,3373,3373,3373,1.0
232,ARKANSAS,AR,5081.0,DEMOCRAT,1235,5109,5109,15327,0.24173027989821882
233,ARKANSAS,AR,5081.0,LIBERTARIAN,99,5109,5109,15327,0.019377568995889608
234,ARKANSAS,AR,5081.0,REPUBLICAN,3775,5109,5109,15327,0.7388921511058916
235,ARKANSAS,AR,5083.0,DEMOCRAT,1391,8156,8156,24468,0.17054928886709173
236,ARKANSAS,AR,5083.0,LIBERTARIAN,293,8156,8156,24468,0.03592447278077489
237,ARKANSAS,AR,5083.0,REPUBLICAN,6472,8156,8156,24468,0.7935262383521334
238,ARKANSAS,AR,5085.0,REPUBLICAN,28307,28307,28307,28307,1.0
239,ARKANSAS,AR,5087.0,DEMOCRAT,1521,7269,7269,21807,0.2092447379281882
240,ARKANSAS,AR,5087.0,LIBERTARIAN,252,7269,7269,21807,0.034667767230705734
241,ARKANSAS,AR,5087.0,REPUBLICAN,5496,7269,7269,21807,0.756087494841106
242,ARKANSAS,AR,5089.0,DEMOCRAT,1327,7430,7430,22290,0.17860026917900404
243,ARKANSAS,AR,5089.0,LIBERTARIAN,195,7430,7430,22290,0.026244952893674293
244,ARKANSAS,AR,5089.0,REPUBLICAN,5908,7430,7430,22290,0.7951547779273217
245,ARKANSAS,AR,5091.0,DEMOCRAT,4105,16357,16357,49071,0.25096289050559395
246,ARKANSAS,AR,5091.0,LIBERTARIAN,382,16357,16357,49071,0.02335391575472275
247,ARKANSAS,AR,5091.0,REPUBLICAN,11870,16357,16357,49071,0.7256831937396833
248,ARKANSAS,AR,5093.0,REPUBLICAN,10189,10189,10189,10189,1.0
249,ARKANSAS,AR,5095.0,REPUBLICAN,2336,2336,2336,2336,1.0
250,ARKANSAS,AR,5097.0,DEMOCRAT,635,3825,3825,11475,0.16601307189542483
