location_key,county,cumulative_confirmed,cumulative_deceased
IA,19001,1588.0,51.0
IA,19003,820.0,14.0
IA,19005,2890.0,60.0
IA,19007,2927.0,68.0
IA,19009,1114.0,20.0
IA,19011,6089.0,77.0
IA,19013,33140.0,480.0
IA,19015,5519.0,54.0
IA,19017,5559.0,82.0
IA,19019,4619.0,58.0
IA,19021,6428.0,58.0
IA,19023,3252.0,53.0
IA,19025,2608.0,25.0
IA,19027,4958.0,66.0
IA,19029,2962.0,78.0
IA,19031,4201.0,35.0
IA,19033,11156.0,170.0
IA,19035,2981.0,62.0
IA,19037,2701.0,32.0
IA,19039,2271.0,37.0
IA,19041,4120.0,44.0
IA,19043,3510.0,72.0
IA,19045,11654.0,146.0
IA,19047,4539.0,54.0
IA,19049,23337.0,144.0
IA,19051,1604.0,32.0
IA,19053,1520.0,26.0
IA,19055,4056.0,68.0
IA,19057,9192.0,139.0
IA,19059,4140.0,72.0
IA,19061,26325.0,295.0
IA,19063,2365.0,52.0
IA,19065,4123.0,74.0
IA,19067,3605.0,62.0
IA,19069,2521.0,43.0
IA,19071,1387.0,25.0
IA,19073,1745.0,21.0
IA,19075,2576.0,44.0
IA,19077,2372.0,46.0
IA,19079,3481.0,72.0
IA,19081,2867.0,47.0
IA,19083,4140.0,62.0
IA,19085,3437.0,95.0
IA,19087,5573.0,74.0
IA,19089,2077.0,35.0
IA,19091,2635.0,38.0
IA,19093,1831.0,49.0
IA,19095,3711.0,50.0
IA,19097,4644.0,69.0
IA,19099,8707.0,110.0
IA,19101,3513.0,51.0
IA,19103,35541.0,153.0
IA,19105,5511.0,73.0
IA,19107,2085.0,48.0
IA,19109,3783.0,88.0
IA,19111,7880.0,142.0
IA,19113,53125.0,583.0
IA,19115,2497.0,62.0
IA,19117,1763.0,32.0
IA,19119,2747.0,50.0
IA,19121,3181.0,40.0
IA,19123,4934.0,87.0
IA,19125,7590.0,125.0
IA,19127,9488.0,112.0
IA,19129,3365.0,42.0
IA,19131,2519.0,50.0
IA,19133,1723.0,49.0
IA,19135,1882.0,49.0
IA,19137,2216.0,55.0
IA,19139,9699.0,131.0
IA,19141,3457.0,71.0
IA,19143,1395.0,22.0
IA,19145,3339.0,46.0
IA,19147,2052.0,38.0
IA,19149,6330.0,100.0
IA,19151,1608.0,27.0
IA,19153,126409.0,1105.0
IA,19155,24382.0,319.0
IA,19157,3728.0,61.0
IA,19159,1135.0,34.0
IA,19161,2412.0,33.0
IA,19163,41418.0,395.0
IA,19165,2724.0,51.0
IA,19167,7987.0,87.0
IA,19169,19980.0,90.0
IA,19171,3925.0,90.0
IA,19173,1318.0,22.0
IA,19175,2720.0,51.0
IA,19177,1383.0,27.0
IA,19179,9003.0,204.0
IA,19181,12591.0,135.0
IA,19183,5681.0,79.0
IA,19185,1271.0,33.0
IA,19187,10384.0,164.0
