,CountyName,StateName,CountyFIPS,StateAbbr,STATE_COUNTY
462,Henry,Georgia,13151,GA,GA | HENRY
463,Houston,Georgia,13153,GA,GA | HOUSTON
464,Irwin,Georgia,13155,GA,GA | IRWIN
465,Jackson,Georgia,13157,GA,GA | JACKSON
466,Jasper,Georgia,13159,GA,GA | JASPER
467,Jeff Davis,Georgia,13161,GA,GA | JEFF DAVIS
468,Jefferson,Georgia,13163,GA,GA | JEFFERSON
469,Jenkins,Georgia,13165,GA,GA | JENKINS
470,Johnson,Georgia,13167,GA,GA | JOHNSON
471,Jones,Georgia,13169,GA,GA | JONES
472,Lamar,Georgia,13171,GA,GA | LAMAR
473,Lanier,Georgia,13173,GA,GA | LANIER
474,Laurens,Georgia,13175,GA,GA | LAURENS
475,Lee,Georgia,13177,GA,GA | LEE
476,Liberty,Georgia,13179,GA,GA | LIBERTY
477,Lincoln,Georgia,13181,GA,GA | LINCOLN
478,Long,Georgia,13183,GA,GA | LONG
479,Lowndes,Georgia,13185,GA,GA | LOWNDES
480,Lumpkin,Georgia,13187,GA,GA | LUMPKIN
481,McDuffie,Georgia,13189,GA,GA | MCDUFFIE
482,McIntosh,Georgia,13191,GA,GA | MCINTOSH
483,Macon,Georgia,13193,GA,GA | MACON
