,state,state_po,district,party_simplified,votes,county_fips,jurisdiction_fips,year,special,writein,state_fips,state_cen,state_ic,readme_check,magnitude,totalVotes,votePercentage
138,CALIFORNIA,CA,53,DEMOCRAT,334858,6097292.0,6097292.0,2028080,0,0,6024,93372,71284,1004,1004,334858,1.0
139,COLORADO,CO,1,DEMOCRAT,331621,3477365.0,3477365.0,874660,0,0,3464,36372,26846,0,433,450290,0.7364609473894601
140,COLORADO,CO,1,LIBERTARIAN,8749,3477365.0,3477365.0,874660,0,0,3464,36372,26846,0,433,450290,0.019429700859446133
141,COLORADO,CO,1,OTHER,3965,6954730.0,6954730.0,1749320,0,0,6928,72744,53692,0,866,450290,0.008805436496480046
142,COLORADO,CO,1,REPUBLICAN,105955,3477365.0,3477365.0,874660,0,0,3464,36372,26846,0,433,450290,0.2353039152546137
143,COLORADO,CO,2,DEMOCRAT,316925,4328543.0,4328543.0,1086760,0,0,4304,45192,33356,0,538,515663,0.614597130296337
144,COLORADO,CO,2,LIBERTARIAN,13657,4328543.0,4328543.0,1086760,0,0,4304,45192,33356,0,538,515663,0.02648435121387418
145,COLORADO,CO,2,OTHER,2534,4328543.0,4328543.0,1086760,0,0,4304,45192,33356,0,538,515663,0.004914062090939237
146,COLORADO,CO,2,REPUBLICAN,182547,4328543.0,4328543.0,1086760,0,0,4304,45192,33356,0,538,515663,0.35400445639884964
147,COLORADO,CO,3,DEMOCRAT,194122,3908236.0,3908236.0,977680,0,0,3872,40656,30008,0,484,429319,0.45216261101884614
148,COLORADO,CO,3,LIBERTARIAN,10298,3908236.0,3908236.0,977680,0,0,3872,40656,30008,0,484,429319,0.023986825647129523
149,COLORADO,CO,3,OTHER,4265,3908236.0,3908236.0,977680,0,0,3872,40656,30008,0,484,429319,0.009934337869975473
150,COLORADO,CO,3,REPUBLICAN,220634,3908236.0,3908236.0,977680,0,0,3872,40656,30008,0,484,429319,0.5139162254640489
151,COLORADO,CO,4,DEMOCRAT,173945,4277504.0,4277504.0,1070600,0,0,4240,44520,32860,0,530,475107,0.3661175272096601
152,COLORADO,CO,4,LIBERTARIAN,11026,4277504.0,4277504.0,1070600,0,0,4240,44520,32860,0,530,475107,0.023207403805879517
153,COLORADO,CO,4,OTHER,4530,4277504.0,4277504.0,1070600,0,0,4240,44520,32860,0,530,475107,0.00953469428991785
154,COLORADO,CO,4,REPUBLICAN,285606,4277504.0,4277504.0,1070600,0,0,4240,44520,32860,0,530,475107,0.6011403746945425
155,COLORADO,CO,5,DEMOCRAT,161600,2823647.0,2823647.0,709020,0,0,2808,29484,21762,0,351,432407,0.3737219795239208
156,COLORADO,CO,5,LIBERTARIAN,14777,2823647.0,2823647.0,709020,0,0,2808,29484,21762,0,351,432407,0.03417382234792684
157,COLORADO,CO,5,NONPARTISAN,3708,2823647.0,2823647.0,709020,0,0,2808,29484,21762,0,351,432407,0.00857525433214541
158,COLORADO,CO,5,OTHER,3309,2823647.0,2823647.0,709020,0,0,2808,29484,21762,0,351,432407,0.007652512563395135
159,COLORADO,CO,5,REPUBLICAN,249013,2823647.0,2823647.0,709020,0,0,2808,29484,21762,0,351,432407,0.5758764312326119
160,COLORADO,CO,6,DEMOCRAT,250314,3787669.0,3787669.0,955460,0,0,3784,39732,29326,0,473,438473,0.5708766560312721
161,COLORADO,CO,6,LIBERTARIAN,9083,3787669.0,3787669.0,955460,0,0,3784,39732,29326,0,473,438473,0.020715072535823185
162,COLORADO,CO,6,OTHER,3884,3787669.0,3787669.0,955460,0,0,3784,39732,29326,0,473,438473,0.00885801406243942
163,COLORADO,CO,6,REPUBLICAN,175192,3787669.0,3787669.0,955460,0,0,3784,39732,29326,0,473,438473,0.39955025737046523
164,COLORADO,CO,7,DEMOCRAT,250558,6362776.0,6362776.0,1599840,0,396,6336,66528,49104,0,792,423724,0.5913235974360669
165,COLORADO,CO,7,LIBERTARIAN,11510,3181388.0,3181388.0,799920,0,0,3168,33264,24552,0,396,423724,0.027163908582001493
166,COLORADO,CO,7,OTHER,2355,3181388.0,3181388.0,799920,0,0,3168,33264,24552,0,396,423724,0.00555786313732524
167,COLORADO,CO,7,REPUBLICAN,159301,3181388.0,3181388.0,799920,0,0,3168,33264,24552,0,396,423724,0.3759546308446064
168,CONNECTICUT,CT,1,DEMOCRAT,213001,2466898.0,246702913980.0,553480,0,0,2466,4384,274,0,274,349237,0.609903876164324
169,CONNECTICUT,CT,1,OTHER,14125,4915790.0,491605153820.0,1102920,0,0,4914,8736,546,0,546,349237,0.04044531364087998
170,CONNECTICUT,CT,1,REPUBLICAN,122111,2466898.0,246702913980.0,553480,0,0,2466,4384,274,0,274,349237,0.3496508101947961
171,CONNECTICUT,CT,2,DEMOCRAT,207171,2469050.0,246918352300.0,553480,0,0,2466,4384,274,112,274,367172,0.5642342008649897
172,CONNECTICUT,CT,2,LIBERTARIAN,3901,2451036.0,245116881840.0,549440,0,0,2448,4352,272,112,272,367172,0.010624448487357423
173,CONNECTICUT,CT,2,OTHER,15760,4938100.0,493836704600.0,1106960,0,0,4932,8768,548,224,548,367172,0.04292266294815509
174,CONNECTICUT,CT,2,REPUBLICAN,140340,2469050.0,246918352300.0,553480,0,0,2466,4384,274,112,274,367172,0.3822186876994978
175,CONNECTICUT,CT,3,DEMOCRAT,194259,3242856.0,324303667390.0,727200,0,0,3240,5760,360,328,360,346101,0.5612783551622215
176,CONNECTICUT,CT,3,OTHER,20276,9584456.0,958499146690.0,2149280,0,0,9576,17024,1064,968,1064,346101,0.05858405494349915
177,CONNECTICUT,CT,3,REPUBLICAN,131566,3242856.0,324303667390.0,727200,0,0,3240,5760,360,328,360,346101,0.3801375898942794
178,CONNECTICUT,CT,4,DEMOCRAT,224432,2376280.0,237640181920.0,533280,0,0,2376,4224,264,264,264,360706,0.6222020149373728
179,CONNECTICUT,CT,4,OTHER,5647,2358278.0,235839944220.0,529240,0,0,2358,4192,262,262,262,360706,0.015655409114347974
180,CONNECTICUT,CT,4,REPUBLICAN,130627,2376280.0,237640181920.0,533280,0,0,2376,4224,264,264,264,360706,0.3621425759482792
181,CONNECTICUT,CT,5,DEMOCRAT,183797,2791482.0,279162547060.0,626200,0,0,2790,4960,310,160,310,349524,0.5258494409539831
182,CONNECTICUT,CT,5,OTHER,13739,5564946.0,556523133980.0,1248360,0,0,5562,9888,618,318,618,349524,0.0393077442464609
183,CONNECTICUT,CT,5,REPUBLICAN,151988,2791482.0,279162547060.0,626200,0,0,2790,4960,310,160,310,349524,0.43484281479955594
184,DELAWARE,DE,0,DEMOCRAT,281382,8722552.0,8722552.0,1761440,0,0,8720,44472,9592,0,872,488270,0.5762836135744568
